m,s,a,n,Purity_0,Purity_1,Purity_2,Purity
0.0,0.0,0.0,0.0,0.6308984047019311,0.7262881841581273,0.5003383522246658,0.5965366283543538
0.0,0.0,0.0,1.0,0.6147080995058213,0.699982791257959,0.49745151254385384,0.5850918866058965
0.0,0.0,1.0,0.0,0.6238125395820139,0.6983751450763325,0.5309844559585493,0.6054977749902719
0.0,0.0,1.0,1.0,0.6074012030762203,0.6966894197952218,0.5212906057945567,0.5975674734473706
0.0,1.0,0.0,0.0,0.5817348292918325,0.5578657821285546,0.6042712421283198,0.5803185506855094
0.0,1.0,0.0,1.0,0.6099186361875242,0.5513667217024399,0.6557107906258048,0.6002195583026451
0.0,1.0,1.0,0.0,0.5814156714244101,0.5608589983664688,0.5793707800603362,0.5712146343926202
0.0,1.0,1.0,1.0,0.538345310484614,0.571085838915719,0.5976913210773835,0.5786232447053836
1.0,0.0,0.0,0.0,0.6124710753866764,0.6865471169027029,0.500165555082541,0.5822853562201291
1.0,0.0,0.0,1.0,0.6212690692018572,0.6884882690423993,0.5030478192327903,0.5855193577170195
1.0,0.0,1.0,0.0,0.6047099368179207,0.673517535502019,0.49578560622433543,0.5746884873983524
1.0,0.0,1.0,1.0,0.6303556992724333,0.6665944493792925,0.505605558187273,0.5807065528590935
1.0,1.0,0.0,0.0,0.5344273440880153,0.523076314905224,0.5868331950579635,0.550981846833316
1.0,1.0,0.0,1.0,0.5569453587886768,0.5498390253140585,0.6165019502739956,0.5784587997256025
1.0,1.0,1.0,0.0,0.522076068114612,0.5316476581351702,0.5391710828917108,0.5338709960489832
1.0,1.0,1.0,1.0,0.5317825126342789,0.5603440933480964,0.5546092426808613,0.5544868322624874
